"Data Source","World Development Indicators",

"Last Updated Date","2017-08-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Switzerland","CHE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","17363","17334","17192","17104","17016","16957","16888","16861","16874","16739","16654","16628","16537","16475","16438","16426","16414","16449","16587","16539","16490","16441","16393","16345","16296","16248","16200","16151","16104","16057","16009","15962","15915","15868","15821","15788","15757","15723","15691","15660","15626","15595","15562","15532","15500","15468","15435","15406","15375","15346","15316","15287","15257","15227","","",
"Channel Islands","CHI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","90","90","90","90","90","90","90","90","89","89","89","89","88","88","88","88","88","87","87","87","87","87","86","86","86","86","86","85","85","85","85","85","84","84","84","84","81","80","79","79","75","74","74","75","76","84","82","81","88","91","96","95","94.2","95.2","","",
"Chile","CHL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","133860","135560","137260","138980","140690","142380","144580","146780","148480","151000","153500","156000","158380","162500","165500","172000","171000","170000","169000","168500","167500","166000","165500","165000","164720","164360","161630","161540","161690","158990","157890","155560","154770","154500","153300","152320","152220","152190","150600","151100","151500","155650","154250","159350","158850","158000","157320","157840","157820","157430","157890","157550","157810","157612","","",
"China","CHN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","3423500","3451000","3479500","3508000","3546000","3582000","3618000","3654000","3700000","3746000","3792500","3838700","3894800","3961000","4007100","4066600","4126000","4184700","4231900","4276040","4329090","4425180","4529280","4645370","4763470","4824560","4877660","4933750","4994850","5056940","5113790","5143140","5182230","5228330","5228330","5228720","5233330","5236830","5231330","5220030","5199150","5185330","5161330","5164330","5174330","5141330","5145680","5145490","5145530","5145500","5145530","5145530","5145530","5145530","","",
"Cote d'Ivoire","CIV","Agricultural land (sq. km)","AG.LND.AGRI.K2","","156800","158800","158800","159800","160800","160800","161500","161500","162000","162000","163000","163100","164400","166250","167150","168400","170800","172100","172250","172550","173700","174900","175840","179010","181800","182800","184000","187200","188200","189300","189500","192000","195020","197000","198000","198000","197000","197000","196000","196000","196000","196000","196000","200000","202000","203000","206000","206000","206000","206000","206000","206000","206000","206000","","",
"Cameroon","CMR","Agricultural land (sq. km)","AG.LND.AGRI.K2","","75100","75700","76200","76800","77400","78000","78700","79200","79700","79780","80280","80950","81600","82800","83950","85100","86440","86710","89120","89300","89600","90100","90600","91100","91600","92300","92100","92100","91900","91700","91500","91600","91600","91600","91600","91600","91600","91600","91600","91600","91600","91600","91600","92100","92130","92130","92130","92630","93130","97000","97500","97500","97500","97500","","",
"Congo, Dem. Rep.","COD","Agricultural land (sq. km)","AG.LND.AGRI.K2","","250500","250700","251000","251300","251500","251700","252000","252500","253000","253500","254000","254500","255000","255500","255500","256000","256300","256500","256500","257000","257500","257700","258000","258500","259000","259500","259500","259500","259500","259600","259800","260000","260000","260000","258000","258000","257000","257000","256000","256000","255500","255500","255500","255500","255500","255860","256500","257000","257450","257650","260400","262000","262000","262000","","",
"Congo, Rep.","COG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","105400","105400","105420","105430","105430","105430","105430","105430","105440","105480","105480","105500","105540","105580","105620","105680","105650","105200","105220","105250","105280","105540","105580","105620","105680","105650","105400","105420","105440","105210","105230","105250","105300","105180","105200","105220","105360","105380","105440","105400","105400","105400","105400","105450","105470","105500","105500","105500","105630","105760","105960","106020","106270","106270","","",
"Colombia","COL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","399700","409720","414930","419950","430080","430200","430230","430250","430300","430300","450540","450680","450840","450990","451150","451300","453150","452610","452770","452920","453080","453230","453390","453560","453750","453950","454010","452830","451830","450830","448840","449830","449030","448650","445130","449200","450820","455430","456680","448590","417450","416070","420510","423910","425570","421740","424360","426140","425400","425030","417210","426176","448156","449134","","",
"Comoros","COM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","950","950","950","950","950","950","950","950","950","950","950","950","950","950","950","950","950","1000","1000","1000","1000","1000","1000","1100","1100","1100","1130","1140","1140","1140","1140","1150","1150","1200","1220","1240","1260","1300","1320","1330","1350","1350","1350","1350","1330","1330","1330","1330","1330","1330","1330","1330","1330","1330","","",
"Cabo Verde","CPV","Agricultural land (sq. km)","AG.LND.AGRI.K2","","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","650","670","670","680","680","690","690","690","700","700","720","720","710","710","730","740","740","750","750","760","760","780","780","780","780","840","840","840","","",
"Costa Rica","CRI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","13950","14100","14200","14850","15550","16350","16360","17160","17900","18560","18870","18870","20480","20480","21220","22050","22870","23600","24430","25160","25990","26790","26820","27480","26810","26120","25390","24630","23780","23050","22380","21600","21130","20950","20480","19950","19530","19150","18880","18400","18330","18260","18290","18220","18050","18150","18000","17930","18160","18190","18190","18120","18115","18111","","",
"Caribbean small states","CSS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","22340","22370","22400","22420","22200","22340","22330","22350","22390","22320","22410","22390","22530","22549","22540","23360","24240","25150","25982","25975","25968","25800","25672","25725","25778","25842","25960","25990","26060","26149","26238","26297","26637","26585","26500","26454","26350","26235","26284","25977","25902","25732","25780","25656.3","25167","25159.1","25099.9","24960","25135","25096","25096","25058","25178","25228","","",
"Cuba","CUB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","35500","38050","40380","47550","45480","45100","46210","47270","47450","50220","50730","55810","58510","56310","58100","59970","60380","59480","58620","59370","59380","60830","61790","61420","62220","64510","67260","67880","67720","67410","67550","67750","67300","66860","66840","66150","66870","66740","66600","65540","66560","66540","66380","65280","66370","66300","66200","65670","65138","64612","64079","64056","63423","62789.1","","",
"Curacao","CUW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","27","","",
"Cyprus","CYP","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4040","4020","4050","4030","4020","4000","4010","4010","3990","3980","3960","3940","3942","2870","1803","1779","1761","1743","1725","1715","1759","1820","1830","1820","1628","1632","1624","1614","1614","1606","1592","1596","1587","1434","1431","1432","1422","1442","1442","1415","1400","1400","1540","1560","1670","1570","1472","1156","1276","1145","1163","1169","1074","1081","","",
"Czech Republic","CZE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42820","42840","42800","42800","42800","42840","42820","42800","42780","42720","42690","42650","42600","42540","42490","42440","42390","42340","42290","42250","42190","42160","","",
